timestamp,Open,High,Low,Close,Volume,datetime
1704067200000,42283.58,42554.57,42261.02,42475.23,1271.68108,2024-01-01 00:00:00
1704070800000,42475.23,42775.0,42431.65,42613.56,1196.37856,2024-01-01 01:00:00
1704074400000,42613.57,42638.41,42500.0,42581.1,685.2198,2024-01-01 02:00:00
1704078000000,42581.09,42586.64,42230.08,42330.49,794.80391,2024-01-01 03:00:00
1704081600000,42330.5,42399.99,42209.46,42399.99,715.4176,2024-01-01 04:00:00
1704085200000,42399.98,42406.0,42180.77,42234.01,736.53152,2024-01-01 05:00:00
1704088800000,42234.01,42424.82,42208.68,42396.69,601.3725,2024-01-01 06:00:00
1704092400000,42396.69,42500.0,42396.68,42492.46,653.67718,2024-01-01 07:00:00
1704096000000,42492.46,42556.5,42452.58,42549.99,427.19365,2024-01-01 08:00:00
1704099600000,42550.0,42699.32,42537.18,42649.69,879.62491,2024-01-01 09:00:00
1704103200000,42649.69,42749.36,42628.0,42691.1,856.81851,2024-01-01 10:00:00
1704106800000,42691.1,42762.39,42605.21,42690.2,785.16567,2024-01-01 11:00:00
1704110400000,42690.21,42780.0,42611.45,42648.38,785.52851,2024-01-01 12:00:00
1704114000000,42648.37,42748.0,42612.76,42715.54,497.2024,2024-01-01 13:00:00
1704117600000,42715.54,42715.55,42580.0,42612.24,711.01152,2024-01-01 14:00:00
1704121200000,42612.24,42847.07,42586.51,42783.05,942.70163,2024-01-01 15:00:00
1704124800000,42783.05,42856.0,42664.42,42725.15,918.71056,2024-01-01 16:00:00
1704128400000,42725.15,42824.9,42704.42,42812.7,677.33678,2024-01-01 17:00:00
1704132000000,42812.71,43208.86,42812.7,43111.1,2143.30897,2024-01-01 18:00:00
1704135600000,43111.1,43550.0,43103.64,43517.99,1947.61533,2024-01-01 19:00:00
1704139200000,43517.98,43829.99,43510.71,43687.86,2905.07295,2024-01-01 20:00:00
1704142800000,43687.85,43792.59,43480.76,43619.21,1541.59126,2024-01-01 21:00:00
1704146400000,43619.22,43661.1,43361.6,43529.93,1024.36372,2024-01-01 22:00:00
1704150000000,43529.94,44184.1,43529.93,44179.55,3475.97051,2024-01-01 23:00:00
1704153600000,44179.55,45200.0,44148.34,45056.0,6986.25967,2024-01-02 00:00:00
1704157200000,45056.0,45372.79,44686.0,44855.96,4397.86376,2024-01-02 01:00:00
1704160800000,44855.96,45381.42,44855.95,45378.96,3016.04235,2024-01-02 02:00:00
1704164400000,45378.96,45500.0,45131.1,45402.38,2693.12081,2024-01-02 03:00:00
1704168000000,45402.38,45468.99,45170.0,45179.8,2268.27572,2024-01-02 04:00:00
1704171600000,45179.8,45324.72,45121.96,45179.48,1617.2842,2024-01-02 05:00:00
1704175200000,45179.48,45308.15,45130.0,45168.75,1390.33832,2024-01-02 06:00:00
1704178800000,45168.75,45643.75,45168.74,45455.53,3112.52478,2024-01-02 07:00:00
1704182400000,45455.52,45852.93,45326.6,45759.3,3323.21707,2024-01-02 08:00:00
1704186000000,45759.3,45879.63,45631.1,45673.48,2096.46195,2024-01-02 09:00:00
1704189600000,45673.48,45711.1,45431.52,45584.99,2069.22249,2024-01-02 10:00:00
1704193200000,45585.0,45698.67,45200.0,45433.99,2538.49307,2024-01-02 11:00:00
1704196800000,45433.99,45589.68,45271.04,45301.99,2128.11147,2024-01-02 12:00:00
1704200400000,45302.0,45705.8,45264.39,45637.93,2253.76868,2024-01-02 13:00:00
1704204000000,45637.92,45800.0,44970.0,45258.73,4553.21243,2024-01-02 14:00:00
1704207600000,45258.73,45349.98,44833.33,45184.82,4301.03657,2024-01-02 15:00:00
1704211200000,45184.83,45399.84,44890.11,45357.84,3052.23783,2024-01-02 16:00:00
1704214800000,45357.84,45382.08,44950.48,44966.15,2540.00308,2024-01-02 17:00:00
1704218400000,44966.16,45271.2,44944.0,45154.69,1806.0773,2024-01-02 18:00:00
1704222000000,45154.7,45243.0,44790.96,45039.49,2347.28624,2024-01-02 19:00:00
1704225600000,45039.49,45180.55,44742.96,44788.28,1940.02489,2024-01-02 20:00:00
1704229200000,44788.27,45119.76,44600.0,45119.74,2043.74183,2024-01-02 21:00:00
1704232800000,45119.74,45297.26,44840.01,44981.73,1591.57491,2024-01-02 22:00:00
1704236400000,44981.72,45049.98,44802.01,44946.91,1080.22719,2024-01-02 23:00:00
1704240000000,44946.91,45212.57,44862.11,45135.61,1410.31904,2024-01-03 00:00:00
